Icon,Date/Time,Description,"Event Type"
true,"1998-03-11 05:07:30","/Program Files/Microsoft Office/CLIPART/PUB60COR/AN02559_.WMF","File Modified"
true,"1998-06-05 07:11:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10298_.GIF","File Modified"
true,"1998-03-11 07:39:58","/Program Files/Microsoft Office/CLIPART/PUB60COR/AN02724_.WMF","File Modified"
true,"1998-06-05 07:11:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10299_.GIF","File Modified"
true,"1998-03-11 10:34:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/AN03500_.WMF","File Modified"
true,"1998-06-05 07:11:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10300_.GIF","File Modified"
true,"1998-06-05 07:11:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10301_.GIF","File Modified"
true,"1998-06-05 07:12:00","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10302_.GIF","File Modified"
true,"1998-06-05 07:25:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10335_.GIF","File Modified"
true,"2002-07-31 06:42:50","/Program Files/Microsoft Office/CLIPART/PUB60COR/AN04134_.WMF","File Modified"
true,"1998-06-05 07:25:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10336_.GIF","File Modified"
true,"1998-06-05 07:25:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10337_.GIF","File Modified"
true,"1998-06-05 07:13:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14513_.GIF","File Modified"
true,"1998-06-05 07:13:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14514_.GIF","File Modified"
true,"2002-07-31 06:42:50","/Program Files/Microsoft Office/CLIPART/PUB60COR/AN04196_.WMF","File Modified"
true,"1998-06-05 07:13:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14515_.GIF","File Modified"
true,"2000-02-21 16:15:42","/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/npdrmv2.zip/npdrmv2.class","File Modified"
true,"1998-06-05 07:00:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14528_.GIF","File Modified"
true,"1999-02-25 12:34:52","/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/npds.zip/NPDS/npDSEvtInterface.class","File Modified"
